pdb_path,total_score
Shc1-PTB_1OY2_0061_NPEYp_0537.pdb,-167.35
Shc1-PTB_1OY2_0061_NPEYp_1446.pdb,-167.051
Shc1-PTB_1OY2_0061_NPEYp_0157.pdb,-164.652
Shc1-PTB_1OY2_0061_NPEYp_0269.pdb,-164.631
Shc1-PTB_1OY2_0061_NPEYp_1213.pdb,-164.392
Shc1-PTB_1OY2_0061_NPEYp_0630.pdb,-164.072
Shc1-PTB_1OY2_0061_NPEYp_0753.pdb,-163.858
Shc1-PTB_1OY2_0061_NPEYp_0321.pdb,-163.757
Shc1-PTB_1OY2_0061_NPEYp_0004.pdb,-163.145
Shc1-PTB_1OY2_0061_NPEYp_0834.pdb,-162.682
