pdb_path,interface_delta_X
Shc1-PTB_1OY2_0061_NPEYp_1460.pdb,-11.326
Shc1-PTB_1OY2_0061_NPEYp_0303.pdb,-10.987
Shc1-PTB_1OY2_0061_NPEYp_1588.pdb,-10.977
Shc1-PTB_1OY2_0061_NPEYp_1750.pdb,-10.953
Shc1-PTB_1OY2_0061_NPEYp_1372.pdb,-10.686
Shc1-PTB_1OY2_0061_NPEYp_1037.pdb,-10.4
Shc1-PTB_1OY2_0061_NPEYp_0480.pdb,-10.336
Shc1-PTB_1OY2_0061_NPEYp_1109.pdb,-10.22
Shc1-PTB_1OY2_0061_NPEYp_0964.pdb,-10.196
Shc1-PTB_1OY2_0061_NPEYp_0613.pdb,-10.188
