total_score	Grid_score	Transform_accept_ratio	angle_constraint	atom_pair_constraint	chainbreak	classic_grid_X	coordinate_constraint	dihedral_constraint	dslf_ca_dih	dslf_cs_ang	dslf_ss_dih	dslf_ss_dst	fa_atr	fa_dun	fa_elec	fa_pair	fa_rep	fa_sol	hbond_bb_sc	hbond_lr_bb	hbond_sc	hbond_sr_bb	if_X_angle_constraint	if_X_atom_pair_constraint	if_X_chainbreak	if_X_coordinate_constraint	if_X_dihedral_constraint	if_X_dslf_ca_dih	if_X_dslf_cs_ang	if_X_dslf_ss_dih	if_X_dslf_ss_dst	if_X_fa_atr	if_X_fa_dun	if_X_fa_elec	if_X_fa_pair	if_X_fa_rep	if_X_fa_sol	if_X_hbond_bb_sc	if_X_hbond_lr_bb	if_X_hbond_sc	if_X_hbond_sr_bb	if_X_omega	if_X_p_aa_pp	if_X_pro_close	if_X_ref	interface_delta_X	ligand_is_touching_X	omega	p_aa_pp	pro_close	ref	total_score_X	description	iter_id
-128.521	-98.000	0.104	0.000	0.000	0.000	-52.000	1.344	0.000	0.000	0.000	0.000	0.000	-685.771	227.557	-14.843	-9.076	198.734	293.783	-8.161	-40.370	-13.671	-46.566	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-11.036	0.000	-0.431	0.000	0.896	4.133	-0.035	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-6.473	1.000	2.375	7.772	4.361	-45.990	-52.000	Shc1-PTB_1OY2_0061_trka_0011	trka_4
-132.707	-79.000	0.288	0.000	0.000	0.000	-50.000	2.923	0.000	0.000	0.000	0.000	0.000	-683.161	217.681	-13.805	-10.141	193.395	292.164	-7.634	-40.370	-10.005	-45.438	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-12.838	0.000	0.166	0.000	0.909	5.966	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-5.797	1.000	5.316	8.084	4.274	-45.990	-50.000	Shc1-PTB_1OY2_0061_trka_0012	trka_4
-127.930	-14.000	0.968	0.000	0.000	0.000	-8.000	0.000	0.000	0.000	0.000	0.000	0.000	-673.125	220.795	-14.102	-10.281	197.499	287.076	-7.983	-40.370	-10.570	-45.473	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-1.514	0.000	-0.107	0.000	0.082	0.233	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-1.307	1.000	2.706	7.614	4.274	-45.990	-8.000	Shc1-PTB_1OY2_0061_trka_0013	trka_4
-131.919	-43.000	0.360	0.000	0.000	0.000	-41.000	0.000	0.000	0.000	0.000	0.000	0.000	-681.145	220.795	-14.267	-10.281	199.076	289.695	-7.983	-40.370	-10.570	-45.473	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-9.534	0.000	-0.272	0.000	1.658	2.852	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-5.296	1.000	2.706	7.614	4.274	-45.990	-41.000	Shc1-PTB_1OY2_0061_trka_0014	trka_4
-131.015	-69.000	0.048	0.000	0.000	0.000	-38.000	0.198	0.000	0.000	0.000	0.000	0.000	-679.711	220.663	-14.152	-10.315	197.305	291.368	-8.431	-40.370	-10.570	-45.473	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-7.820	0.000	0.536	0.000	0.554	3.532	-0.038	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-3.235	1.000	2.615	7.576	4.274	-45.990	-38.000	Shc1-PTB_1OY2_0061_trka_0015	trka_4
-130.927	-118.000	0.078	0.000	0.000	0.000	-41.000	0.157	0.000	0.000	0.000	0.000	0.000	-680.548	221.149	-14.442	-10.349	197.911	290.692	-7.983	-40.370	-10.570	-45.507	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-7.427	0.000	-0.149	0.000	0.565	2.668	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-4.342	1.000	2.855	7.791	4.279	-45.990	-41.000	Shc1-PTB_1OY2_0061_trka_0016	trka_4
-131.995	-78.000	0.310	0.000	0.000	0.000	-38.000	0.258	0.000	0.000	0.000	0.000	0.000	-683.200	221.380	-13.401	-10.189	198.597	290.440	-8.236	-40.370	-10.570	-45.334	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-9.343	0.000	0.227	0.000	1.009	2.029	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-6.077	1.000	2.746	7.606	4.269	-45.990	-38.000	Shc1-PTB_1OY2_0061_trka_0017	trka_4
-131.640	-59.000	0.294	0.000	0.000	0.000	-25.000	0.516	0.000	0.000	0.000	0.000	0.000	-676.110	220.456	-14.109	-10.261	196.461	288.502	-7.983	-40.370	-10.570	-45.720	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-4.567	0.000	0.023	0.000	0.313	1.519	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2.712	1.000	2.620	7.171	3.747	-45.990	-25.000	Shc1-PTB_1OY2_0061_trka_0018	trka_4
-128.079	-13.000	0.924	0.000	0.000	0.000	-9.000	0.000	0.000	0.000	0.000	0.000	0.000	-673.473	220.795	-14.252	-10.281	197.626	287.299	-7.983	-40.370	-10.570	-45.473	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-1.862	0.000	-0.257	0.000	0.208	0.456	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-1.455	1.000	2.706	7.614	4.274	-45.990	-9.000	Shc1-PTB_1OY2_0061_trka_0019	trka_4
-128.076	-50.000	0.210	0.000	0.000	0.000	-13.000	0.000	0.000	0.000	0.000	0.000	0.000	-673.488	220.795	-14.100	-10.281	197.429	287.362	-7.983	-40.370	-10.570	-45.473	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-1.848	0.000	-0.060	0.000	0.012	0.518	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-1.377	1.000	2.706	7.614	4.274	-45.990	-13.000	Shc1-PTB_1OY2_0061_trka_0020	trka_4
-130.097	-38.000	0.432	0.000	0.000	0.000	-30.000	0.000	0.000	0.000	0.000	0.000	0.000	-677.999	220.795	-14.508	-10.281	197.879	289.810	-7.983	-40.370	-10.570	-45.473	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-6.389	0.000	-0.514	0.000	0.462	2.967	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-3.474	1.000	2.706	7.614	4.274	-45.990	-30.000	Shc1-PTB_1OY2_0061_trka_0021	trka_4
-131.314	-54.000	0.290	0.000	0.000	0.000	-41.000	0.004	0.000	0.000	0.000	0.000	0.000	-678.286	220.795	-14.501	-10.281	197.916	289.292	-8.431	-40.370	-10.579	-45.473	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-6.645	0.000	-0.460	0.000	0.498	2.448	-0.448	0.000	-0.008	0.000	0.000	0.000	0.000	0.000	-4.615	1.000	2.705	7.611	4.274	-45.990	-41.000	Shc1-PTB_1OY2_0061_trka_0022	trka_4
-6.485	-96.000	0.058	0.000	0.000	0.000	-80.000	1.837	0.000	0.000	0.000	0.000	0.000	-695.945	214.640	-14.227	-10.173	339.814	297.251	-10.318	-42.993	-10.599	-45.473	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-23.787	0.000	0.267	0.000	4.781	11.997	-0.204	0.000	-0.078	0.000	0.000	0.000	0.000	0.000	-7.024	1.000	3.777	7.640	4.274	-45.990	-80.000	Shc1-PTB_1OY2_0061_trka_0023	trka_4
-138.101	-112.000	0.128	0.000	0.000	0.000	-75.000	2.284	0.000	0.000	0.000	0.000	0.000	-683.137	213.006	-15.881	-10.283	191.724	292.480	-10.959	-40.370	-10.570	-45.473	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-14.204	0.000	-0.171	0.000	1.098	5.403	-0.127	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-8.001	1.000	12.660	8.021	4.387	-45.990	-75.000	Shc1-PTB_1OY2_0061_trka_0024	trka_4
-69.367	-70.000	0.080	0.000	0.000	0.000	-108.000	27.288	0.000	0.000	0.000	0.000	0.000	-711.218	234.643	-17.525	-10.553	227.514	314.140	-8.847	-41.043	-10.851	-42.863	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-39.175	0.000	-4.557	0.000	28.675	26.753	-0.609	0.000	-1.534	0.000	0.000	0.000	0.000	0.000	9.552	1.000	6.192	5.444	4.303	-45.990	-108.000	Shc1-PTB_1OY2_0061_trka_0025	trka_4
-133.799	-47.000	0.336	0.000	0.000	0.000	-52.000	0.000	0.000	0.000	0.000	0.000	0.000	-683.360	220.795	-15.921	-10.281	199.627	291.659	-7.983	-40.370	-11.097	-45.473	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-11.719	0.000	-1.880	0.000	2.210	4.816	0.000	0.000	-0.526	0.000	0.000	0.000	0.000	0.000	-7.100	1.000	2.706	7.614	4.274	-45.990	-52.000	Shc1-PTB_1OY2_0061_trka_0026	trka_4
-126.699	-3.000	0.926	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-671.640	220.795	-14.041	-10.281	197.418	286.843	-7.983	-40.370	-10.570	-45.473	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.706	7.614	4.274	-45.990	0.000	Shc1-PTB_1OY2_0061_trka_0027	trka_4
-128.775	-33.000	0.442	0.000	0.000	0.000	-6.000	0.000	0.000	0.000	0.000	0.000	0.000	-673.649	220.795	-13.987	-10.281	197.499	286.640	-7.983	-40.370	-10.570	-45.473	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2.009	0.000	0.054	0.000	0.082	-0.203	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2.076	1.000	2.706	7.614	4.274	-45.990	-6.000	Shc1-PTB_1OY2_0061_trka_0028	trka_4
-130.778	-53.000	0.272	0.000	0.000	0.000	-28.000	0.086	0.000	0.000	0.000	0.000	0.000	-679.038	222.109	-14.214	-10.281	198.481	287.793	-7.983	-40.370	-10.570	-45.473	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-7.276	0.000	-0.164	0.000	0.776	1.041	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-5.623	1.000	2.769	7.631	4.274	-45.990	-28.000	Shc1-PTB_1OY2_0061_trka_0029	trka_4
-79.286	-124.000	0.130	0.000	0.000	0.000	-61.000	46.845	0.000	0.000	0.000	0.000	0.000	-685.812	220.666	-14.029	-10.208	200.585	295.441	-10.141	-42.864	-10.828	-47.545	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-15.677	0.000	0.188	0.000	0.738	9.255	-0.151	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-5.648	1.000	13.445	6.875	4.274	-45.990	-61.000	Shc1-PTB_1OY2_0061_trka_0030	trka_4
-134.569	-67.000	0.214	0.000	0.000	0.000	-34.000	0.029	0.000	0.000	0.000	0.000	0.000	-680.149	221.389	-14.517	-10.469	198.495	288.090	-9.797	-40.565	-10.570	-45.473	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-8.409	0.000	-0.089	0.000	1.061	0.336	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-7.102	1.000	3.088	7.596	4.274	-45.990	-34.000	Shc1-PTB_1OY2_0061_trka_0031	trka_4
-131.673	-125.000	0.052	0.000	0.000	0.000	-58.000	1.588	0.000	0.000	0.000	0.000	0.000	-685.889	222.315	-15.716	-11.241	197.506	297.025	-8.482	-40.267	-11.738	-45.515	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-14.154	0.000	-0.983	0.000	0.729	8.980	-0.103	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-5.532	1.000	2.610	7.793	4.327	-45.990	-58.000	Shc1-PTB_1OY2_0061_trka_0032	trka_4
-128.493	-60.000	0.200	0.000	0.000	0.000	-21.000	0.000	0.000	0.000	0.000	0.000	0.000	-675.787	220.795	-13.976	-10.281	197.764	288.784	-7.983	-40.370	-10.570	-45.473	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-4.147	0.000	0.065	0.000	0.346	1.941	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-1.794	1.000	2.706	7.614	4.274	-45.990	-21.000	Shc1-PTB_1OY2_0061_trka_0033	trka_4
