pdb_path,total_score
Shc1-PTB_1OY2_0061_trka_0007.pdb,-167.695
Shc1-PTB_1OY2_0061_trka_0288.pdb,-166.184
Shc1-PTB_1OY2_0061_trka_0124.pdb,-163.624
Shc1-PTB_1OY2_0061_trka_0200.pdb,-163.604
Shc1-PTB_1OY2_0061_trka_0105.pdb,-163.25
Shc1-PTB_1OY2_0061_trka_0183.pdb,-163.127
Shc1-PTB_1OY2_0061_trka_0003.pdb,-162.872
Shc1-PTB_1OY2_0061_trka_0172.pdb,-162.239
Shc1-PTB_1OY2_0061_trka_0236.pdb,-161.053
Shc1-PTB_1OY2_0061_trka_0094.pdb,-160.684
