pdb_path,total_score
1shc_0002_trka_0343.pdb,-126.279
1shc_0002_trka_0795.pdb,-123.926
1shc_0002_trka_0396.pdb,-123.409
1shc_0002_trka_0484.pdb,-118.201
1shc_0002_trka_0266.pdb,-117.033
1shc_0002_trka_1243.pdb,-115.823
1shc_0002_trka_1765.pdb,-115.614
1shc_0002_trka_0665.pdb,-115.468
1shc_0002_trka_0161.pdb,-114.785
1shc_0002_trka_0764.pdb,-114.668
